name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
Bajaj Auto,4.1,(5.9k Reviews),Public,"Pune,Maharashtra + 196 more",77 years old,201-500 Employees (India)
ICICI Lombard Ge...,3.8,(2.2k Reviews),Public,"Mumbai,Maharashtra + 193 more",21 years old,5k-10k Employees (India)
Tata Communicati...,4.2,(3k Reviews),Public,"Mumbai,Maharashtra + 87 more",36 years old,10k-50k Employees (India)
Muthoot Fincorp,4.0,(2.2k Reviews),Private,"Trivandrum/Thiruvananthapuram,Kerala + 408 more",135 years old,10k-50k Employees (India)
Amdocs,4.1,(2.2k Reviews),Private,"Chesterfield,Missouri + 12 more",40 years old,10k-50k Employees (India)
UST,4.1,(2.3k Reviews),Private,"Aliso Viejo,California + 32 more",21 years old,10k-50k Employees (India)
Flex,4.2,(2.2k Reviews),Private,San Jose + 36 more,53 years old,10k-50k Employees (India)
Bosch Global Sof...,4.2,(2.2k Reviews),Private,Gerlingen + 19 more,32 years old,10k-50k Employees (India)
LG Electronics,4.1,(2.2k Reviews),Public,"Seoul,Seoul + 183 more",64 years old,5k-10k Employees (India)
John Deere,4.4,(2.3k Reviews),Private,"Moline,Illinois + 94 more",21 years old,1k-5k Employees (India)
Motherson Sumi S...,3.9,(3.5k Reviews),Public,"Noida,Uttar Pradesh + 61 more",36 years old,1k-5k Employees (India)
L&T Financial Se...,4.1,(2.1k Reviews),Public,"Mumbai,Maharashtra + 371 more",28 years old,10k-50k Employees (India)
Sodexo,4.1,(2.2k Reviews),Private,Issy Les Moulineaux + 105 more,14 years old,10k-50k Employees (India)
Ford Motor,4.5,(2.5k Reviews),Public,"Dearborn,Michigan + 100 more",119 years old,5k-10k Employees (India)
Ecom Express,4.3,(2.1k Reviews),Private,"Gurgaon,Haryana + 452 more",10 years old,10k-50k Employees (India)
Whitehat jr,3.8,(2.1k Reviews),Private,"Mumbai,Maharashtra + 44 more",4 years old,5k-10k Employees (India)
Hetero Drugs,4.0,(2.4k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 31 more",29 years old,1k-5k Employees (India)
Alembic Pharmace...,4.1,(2.1k Reviews),Public,"Vadodara/Baroda,Gujrat + 117 more",115 years old,5k-10k Employees (India)
Indiamart Interm...,3.8,(2.1k Reviews),Private,"Noida,Uttar Pradesh + 96 more",26 years old,10k-50k Employees (India)
KEC Internationa...,4.2,(2.1k Reviews),Public,"Mumbai,Maharashtra + 199 more",77 years old,5k-10k Employees (India)
SBI Life Insuran...,3.8,(2.1k Reviews),Public,"Mumbai,Maharashtra + 406 more",21 years old,10k-50k Employees (India)
Abbott Healthcar...,4.1,(3.4k Reviews),Public,"Illinois City,Illinois + 138 more",31 years old,10k-50k Employees (India)
Cholamandalam In...,4.3,(2.1k Reviews),Private,"Chennai,Tamil Nadu + 462 more",44 years old,1k-5k Employees (India)
Schneider Electr...,4.2,(3.7k Reviews),Private,Paris + 65 more,23 years old,10k-50k Employees (India)
Hindustan Coca C...,4.4,(2k Reviews),Private,Bangalore + 164 more,25 years old,1k-5k Employees (India)
Simplex Infrastr...,3.7,(2.2k Reviews),Public,"Kolkata,West Bengal + 121 more",98 years old,1k-5k Employees (India)
BigBasket,4.2,(2.1k Reviews),Private,"Bangalore,Karnataka + 71 more",11 years old,5k-10k Employees (India)
Thermax,4.3,(2.3k Reviews),Public,"Pune,Maharashtra + 117 more",42 years old,1k-5k Employees (India)
Subros,4.0,(2k Reviews),Public,"Noida,Uttar Pradesh + 32 more",37 years old,1k-5k Employees (India)
GlobalLogic,4.0,(2k Reviews),Private,"San Jose,California + 25 more",22 years old,5k-10k Employees (India)
Muthoot Group,3.7,(4.4k Reviews),Public,"Wedel,Schleswig-holstein + 320 more",135 years old,1k-5k Employees (India)
Intas Pharmaceut...,4.3,(2k Reviews),Private,"Ahmedabad,Gujrat + 95 more",22 years old,5k-10k Employees (India)
Wipro Enterprise...,3.8,(2k Reviews),Bangalore + 65 more,77 years old,1 Lakh+ Employees (India),
Arvind Group,4.1,(2.2k Reviews),Public,"Ahmedabad,Gujrat + 128 more",91 years old,10k-50k Employees (India)
Gati kwe,4.1,(2k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 143 more",10 years old,1k-5k Employees (India)
Muthoot Finance,3.6,(2k Reviews),Public,"Kochi/Cochin,Kerala + 380 more",83 years old,10k-50k Employees (India)
NatWest Group,4.1,(1.9k Reviews),Chennai + 18 more,10k-50k Employees (India),,
VE Commercial Ve...,4.1,(1.9k Reviews),Private,"Gurgaon/Gurugram,Haryana + 102 more",14 years old,1k-5k Employees (India)
Varun Beverages,4.0,(1.9k Reviews),Public,"Gurgaon/Gurugram,Haryana + 184 more",27 years old,5k-10k Employees (India)
Shoppers Stop,4.3,(2.1k Reviews),Public,"Mumbai,Maharashtra + 53 more",31 years old,10k-50k Employees (India)
Cummins,4.4,(1.9k Reviews),"Columbus,Indiana + 74 more",60 years old,10k-50k Employees (India),
Atos,3.8,(6.3k Reviews),Private,"Vilnius,Vilniaus Apskritis + 30 more",25 years old,10k-50k Employees (India)
Macleods Pharmac...,4.0,(1.9k Reviews),Public,"Mumbai,Maharashtra + 73 more",36 years old,5k-10k Employees (India)
Indian Air Force,4.6,(1.9k Reviews),Private,"New Delhi,Delhi + 98 more",90 years old,1 Lakh+ Employees (India)
Suzlon Group,4.2,(1.9k Reviews),Public,"Pune,Maharashtra + 83 more",27 years old,5k-10k Employees (India)
CMS IT Services,3.2,(1.9k Reviews),Private,"Bangalore,Karnataka + 113 more",8 years old,5k-10k Employees (India)
McDonald's,4.3,(1.9k Reviews),Private,"Chicago,Illinois + 118 more",67 years old,5k-10k Employees (India)
American Express,4.4,(2k Reviews),Private,"New York City,New York + 33 more",172 years old,10k-50k Employees (India)
Glenmark Pharmac...,4.2,(1.9k Reviews),Public,"Mumbai,Maharashtra + 106 more",45 years old,5k-10k Employees (India)
Virtusa Consulti...,3.9,(1.9k Reviews),Private,"Southborough,Massachusetts + 22 more",26 years old,5k-10k Employees (India)
DTDC Express,4.0,(1.9k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 184 more",32 years old,1k-5k Employees (India)
ABB Group,4.1,(1.9k Reviews),Public,Zurich + 84 more,21 years old,5k-10k Employees (India)
Bel,4.2,(1.9k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 29 more",68 years old,5k-10k Employees (India)
Optum,4.1,(1.9k Reviews),Private,Minnesota + 19 more,45 years old,50k-1 Lakh Employees (India)
Deutsche Bank,4.3,(1.9k Reviews),Private,Frankfurt + 29 more,152 years old,10k-50k Employees (India)
Randstad,4.1,(1.9k Reviews),Private,"Chennai,Tamil Nadu + 197 more",30 years old,1k-5k Employees (India)
Alkem Laboratori...,4.1,(1.8k Reviews),Public,"Mumbai,Maharashtra + 115 more",49 years old,10k-50k Employees (India)
Lava Internation...,4.2,(1.8k Reviews),Public,"Noida,Uttar Pradesh + 202 more",13 years old,1k-5k Employees (India)
Honda Motorcycle...,4.2,(1.8k Reviews),Private,"Gurgaon/Gurugram,Haryana + 161 more",23 years old,5k-10k Employees (India)
Standard Charter...,4.2,(4.3k Reviews),Private,London + 57 more,53 years old,5k-10k Employees (India)
Reliance Nippon ...,3.9,(1.8k Reviews),Private,"Mumbai,Maharashtra + 376 more",22 years old,10k-50k Employees (India)
Havells,4.2,(2k Reviews),Public,"Noida,Uttar Pradesh + 118 more",39 years old,5k-10k Employees (India)
Swiggy,4.2,(1.8k Reviews),Private,"Bangalore,Karnataka + 128 more",8 years old,1k-5k Employees (India)
Pidilite Industr...,4.4,(1.9k Reviews),Public,"Mumbai,Maharashtra + 166 more",63 years old,5k-10k Employees (India)
KocharTech,4.5,(1.8k Reviews),Private,"Gurgaon/Gurugram,Haryana + 20 more",27 years old,501-1k Employees (India)
Ipca Laboratorie...,4.1,(1.8k Reviews),Public,"Mumbai,Maharashtra + 97 more",73 years old,5k-10k Employees (India)
DCB Bank,4.0,(1.8k Reviews),Private,"Mumbai,Maharashtra + 232 more",92 years old,5k-10k Employees (India)
Bajaj Electrical...,4.1,(1.8k Reviews),Public,"Mumbai,Maharashtra + 161 more",84 years old,5k-10k Employees (India)
